User,Rating,Date,Title,Comment
novacasa42,POS,26 November 2019," A Masterpiece/Work of Art.
","As I write this, I want to describe my raw initial state after I finished the film, I'm in a state of complete awe, staring into the wall kind of awe, Parasite is truly a work of art, a sheer masterpiece.
This film oozes with mastery, every little detail tells a story of its own, I was drawn to it like a moth to a flame, it grips hard and it never lets go, it sways between genres gracefully, it offers comedy both dark and light, drama, horror, thrill, and it's all packaged so seamlessly, conveyed to us throughout breathtaking performances across the board, I've watched my share of Korean Cinema to know that's a common thing but Parasite takes it to a whole other level, it materializes thoughts and ideas, things words can not communicate, it is extremely rare to experience such a thing in film, I can only name a small number of movies that actually made me feel this way, just incredible.
Director Bong Joon Ho proves that he is a master within his own cross-genre domain, he takes charge and you actually feel like you're in safe hands watching this, he shapes the scenes perfectly, A true master of his trade, Thank You.
In all honesty, I feel like I went through an experiment where the time went still and I experienced a piece of art such as this, I absloutely, wholeheartedly loved every single second of this film, MINDBLOWING."
Fella_shibby,POS,4 February 2020," Thy shall not ridicule fellas with body odor. Definitely deserves the best picture award.
","Finally saw this much talked about film. As a fan of Korean thrillers, this film surpassed my expectations.
The film is about a poor family who cleverly n cunningly become employed by a wealthy couple, posing as unrelated, highly qualified individuals.The film begins like a dark satire, it then proceeds into a captivating thriller n ends like a surreal crime, more of a social phenomenon.The film is very entertaining inspite of the sad stuff shown about poor fellas n not at all demeaning. It is very gripping n weirdly hilarious."
genosypheus,NEG,7 January 2020," The only horror about this film...
","Is the fact that people who voted for it to win the Cannes film festival award and those who gave it anything higher than a 7/10 on this platform, actually exist.A family living below the poverty line in a 1st world nation whose kids couldn't pass the national exams or fold a pizza box would suddenly become world class con artistes overnight infiltrating a wealthy family? And when things took a dark turn, we the audience are supposed to feel sorry for them, just because they are poor, nevermind their greed, pride and total lack of character?Please don't insult our intelligence, at least 1 out of 3 accounts here are real and still give honest review."
davidqvist,POS,8 January 2020," Learn to think for yourself.
","There are lots of great movies out there. This is just not one of them. Why? Because it's predictable to a degree that I have seldom experienced. All major events can be predicted way ahead of them happening, which makes watching this movie into nothing but a waiting game. It's not deep and it's definitely not clever.If the director should ever reveal that he made this movie as an experiment to explore how hollow of a movie you can get away with and still have the world hyped, I wouldn't be the least bit surprised."
tomholland2016,POS,9 August 2019," A cordial invitation to welcome this Parasite gem in the 21st century full of remakes and reboots.
","Following the step of Get Out, it is a powerful film that comprises of metaphors and allegories which need you to think beyond a certain level as they are manifested throughout. No worries, you will understand the film even if you fail to unlock the codes unlike Mother! & Us.Parasite welcomes the audience into multi-genres and tonal shifts that mix and take its turn after every act. Pure comedy, dark comedy to heavy dramas, horror, thriller, mystery, you name it. The director, Bong Joon-Ho wonderfully converts them smoothly without letting the audience feels bizarre of the transformation.With merely 10 characters into play, Parasite brilliantly executes layer after layer of interesting character developments which progresses the plot forward to ultimately produce a comprehensive film.Parasite professionally handles cinematic tricks to synchronize every possible element for the greater good such as excellent use of cinematography techniques with superb artistic values, information-packed dialogues, lavish architecture production designs & vibrant colours.Quite certain scenes feel a little too long and weary. If they can cut short and add new scenes instead, the pacing will be better and more entertaining.Majestic musical set pieces is utilized in the background to help produce a richer tone to the distinct elements.The suspenseful moments would have you at the edge of your seat without noticing until the point you recall your experience inside the hall.Verdict: A strongly crafted masterpiece film on social themes and satire that finds its place in audience's heart.In short, it is one of those episodes of Black Mirror."
CineMuseFilms,POS,28 December 2019," A black comedy on social inequality
","There is no shortage of films that depict the injustice of social inequality but originality is scarce. With a large proportion of its population below the poverty line, it is noteworthy that a filmmaker from South Korea has produced a work that has attracted almost universal acclaim. Parasite (2019)generates a great deal of conversation but be warned: it is not a film for everyone, especially those averse to gory endings.If you step back from the story's twists and turns, the narrative premise is simple. A family of petty crooks living in abject poverty get lucky as, one by one, each tricks their way into being employed by the same heartlessly wealthy family in roles like tutor, driver, and housekeeper. The gullible family is easy to deceive, while the crooks manufacture various scenarios to their own advantage. The occupation of the luxurious home by the crooks adds a new meaning to the concept of home invasion. However, the plan comes un-stuck when they find a secret dungeon that leads to horrific consequences.The film takes too much time in developing the central premise and various sub-plots, and more descriptive prose could be offered here about what actually happens. But that is not the point of the film. Director Joon-ho Bong paints an intricate portrait of the normalisation of poverty and class privilege, with both sets of family never questioning their place in South Korea's social order. This acceptance and its destructiveness of the human spirit makes change impossible and condemns Korean society to moral bankruptcy.There is more to this film than political discourse. As a black comedy, it is sprinkled with funny although improbable moments and the filming style expresses the polemic in obvious ways. Juxtaposing the world occupied by a smelly cramped underclass with the opulent world of the rich is low-hanging fruit. One can also find elements of magical fantasy, as it requires an unequivocal suspension of disbelief to accept that a family of losers can so easily dupe a family of high achievers. The acting tends towards wooden, and it is difficult to warm to any particular character. The film's climax offers little other than an ambivalent balance between hope and nihilism, leaving viewers to decide which family are the parasites.For many, the critical pendulum swings towards the 'masterpiece' label. But it is perhaps closer to reality to describe this as an original, engaging, and disturbing tale of endemic class tension, oppression, and helplessness. Although tenuous, the message has universal relevance."
crownofsprats,POS,22 August 2019," Observations
","Firstly, movie hype of the wildfire sort (ovation, talk of Cannes, etc) grossly overinflates expectations for a film. If you've read 50 reviews calling something 'best film ever' and then watch said film, I can almost guarantee you will not share their opinion afterwards. No, it's not a flawless masterpiece that will be remembered for centuries - but just because others think so is no reason to hate on it either, since it is undoubtedly an accomplished and entertaining piece of filmmaking.Haters may hate for ideological reasons: something is definitely fishy with the skewed helpful/unhelpful ratio on most of these reviews (it's 1:5 to 1:10 for most reviews), which may or may not point to some sort campaign of orchestrated manipulation, or at the very least an outpouring of emotion. Clearly this has people roiled up!Which is funny, because it's not really all that clear what there is to get roiled up about! Lots of reviewers talk about the underlying themes and motifs and whatnot, vaguely alluding to what those are - class struggle, a dash of political allegory - but no one so far has written up any sort of concrete analysis that decodes the film, pointing out the literary, cinematic, political, or psychological allusions in specific scenes. If you read enough of these reviews, you know there's always at least one arch-geek who takes on the challenge and posts something that borders on coherent and insightful. The North Korea references would be a great place to start, perhaps.But yeah, I suspect this aggravated the sensibilities of some anti-anti-capitalist types, who rail against any lefty do-gooder subtext and want their films all storytelling and no agenda. (This is a silly expectation, since most storytelling throughout history is overtly agenda-driven.) Though it's definitely not a 'pro-capitalism' film, it is quite ambiguous about its morality, and there is no one to really root for or hate. This is actually one of its more subtle but grandiose achievements.More to the point are criticisms of the acting, which may or may not be annoying (I don't speak Korean, so I cannot fully judge). Plot is on the improbable side, although the 'fun factor' of watching this unravel counterweighs the contrived nature of the initial setup. The final stretch doesn't quite deliver (if it did, this would be a 9-10), and there's an unnecessary and rather maudlin coda.But overall, strong work, and definitely one of the year's must-see films."
collisd,POS,1 February 2020," Parasite: a poignant reflection upon inequality - and funny
","This film - Parasite - is so good that I set up an IMDB account to write about it. The film is a reflection upon poverty and wealth, an issue that is visible and salient in South Korea where the film is set. It uses humour, likeable characters, and a mischievous pace to draw in the viewer. Like a frog in the proverbial slowly-heating pot, we unwittingly come to consider what it means to be poor, what it means to be rich, and the volatile interface between the two.I began watching the film barracking for the various characters of the poverty-stricken Kim family as they weave themselves into the life of the wealthy Park family. The Kim family son, Ki-woo, pretends to be an English tutor to the Park family's daughter. In turn, Ki-woo draws in his sister, Ki-jung, who pretends to be an art therapist, to work with the traumatised Park family son. The mischief expands like a spider web, as the Kim family father, Ki-taek, and mother, Chung-sook, take further positions within the Park family as their driver and housekeeper. It's a simple premise taken to a ludicrous extreme, making the film both real and not-real.Beneath the light-hearted tone in which the 'parasitic' enmeshment is established, a dark underbelly of resentment reveals itself as the poorer Kim family inhabits the life of the wealthy Park family. As their unlikely success grows, the Kim family shift from a mindset of sporadic life resignations towards the dangerous realm of possibility. The Kim family may actually find a way out of poverty by inhabiting of the Park family house. The second half of the film shifts gear to explore the violence and ruthless deception that is spawned within this up-close-and-personal straddling of absurd extremes of inequality.Parasite calls on its viewers to understand the dynamics of inequality through this fable-istic account of two families, both having their own type of parasitic relation to each other. The Kim family is parasitic on the money of the Park family; the Park family, in turn, is parasitic on the Kim family to do life's chores. With great agility, the film sidesteps the temptation to valorise the poor or demonise the rich. We like all the characters, but there are no heroes. Instead, Parasite invites us to reflect upon inequality in its inglorious everyday forms. The Park family father doesn't like the smell of the Kim family father, while the Park family son inadvertently almost reveals the Kim family ruse by innocently noting that 'they all smell the same.' Poverty and wealth are not abstract categories; they are smells, experienced differently by rich and poor.In this down-to-earth-ness, the filmmaker, Bong Joon-ho, explicitly calls on viewers to interpret the movie on different levels. From the opening scenes, the Kim family son, Ki-woon, repeats the word 'metaphorical.' He is ostensibly talking about a rock that is supposed to bring wealth, but we viewers are left to open up wider horizons of meanings, such as: societies of great inequality must inevitably devolve into transactional-parasitic relations; wealthy families in the midst of poverty must inevitably defend against the social incursions of poorer people doing what they can to survive, as well as defending against the psychological incursions of bad conscience. In every rich household there is something hidden in the basement, as least psychologically.This film holds its line against the temptation to explicitly condemn the evils of inequality. Instead it relentlessly represents the dynamics of inequality, drawing away from the judgement of individual characters, leaving it to viewers to make sense of it. Being vague enough to not spoil the ending, the film's climax portrays violence bubbling up as an expression of long-suppressed resentment. It does so in light of a jarring juxtaposition between the despairing circumstances of the poorer family hitting rock bottom, and the oblivious self-centredness of the rich family who are circumstantially geared by the everyday realities of inequality to not want to know about anything outside their bubble.If the film has a political point, it shifts the debate about inequality. Instead of talking about the 'deserving poor' or the 'greedy rich', the film describes the impoverished social ecosystem of unequal societies, and the social roles and habits these societies require of their people. Violence in the face of absurd levels of inequality does not come from character flaws. But, rather, it emerges as the breaking point of the logics and habits of inequality taken to their logical extreme.An untended pot of boiling water creates scalding steam, and eventually bubbles over."
joesiegel,POS,30 January 2020," It's so metaphorical
","""It's so metaphorical"" is what Kevin says when they show him Da-Song's paint, he makes a statement without knowing absolutely nothing about what he is talking about, most critics of this movie say exactly that ""It's so metaphorical"" obviously Most know what you are talking about, when writing something about a movie I have to be 100% sure that I have understood.""It's so metaphorical"" This comment on this movie is quite fair and precise; Parasite is built on the basis of visual symbolism that for some it will be an easy task to find them and for others a little more difficult because it also does not put this type of visual metaphors in the foreground, sometimes leaves it to the public's interpretation and in others simply play with the camera and film techniques to tell us the story, a clear example is the first time Kevin visits the Park house, the house is shown in a low-angle shot from the ground showing the superiority of the house and the environment over the character, the rain scene in the middle of the movie is simply wonderful: the family plummets to its miserable reality and the camera descends in a peculiar way, as there are many examples throughout the film; the fight over the cell phone in the Park house looks like an animal fight, the shots in the Kim's house are closed and in the immense Park house they are open and wide, a lot of voyeuristic Hitchcokian shots and provocateurs of vertigo, the symbolic use of the stairs throughout the film, something quite coherent since the film speaks especially about the socioeconomic classes and the social and race stairs, are some simply steps over others. Who are the real Parasites? the Kims or the Parks? the film plays with this question and leaves the answer to the interpretation, the Kim who represent the great majority of the poor class in Korea and in the world act as parasites that will gradually owe the class that is above them, taking advantage of the comforts that it offers them without any difficulty, living under the ground and in precarious conditions, but on the other hand the Park are practically useless beings, there is nothing they can do: their children are educated by others, their clothes are ironed and washed by others and their food is made by others.Kim's family at least shows that Kevin is good at Languages, even better than many college students, his sister has great skills that lead her to create the perfect plan, even she manages to do what no sophisticated teacher did; control and support Da-Song, but due to their poverty their hopes that they can take advantage of this kind of talent are minimal. The final shot of the movie plays with us and gives the perfect blow to culminate this story: Kevin writes a letter to his dad that he probably won't be able to read, while he has a dream, after the dream the shot is the same that of the beginning, he It shows the exterior of the house from the basement this time without sun, showing that he it is where it began and that now its life is dark and empty of hopes."
bp29,POS,8 February 2020," My God People, Really?? Get Your heads out of the sand
","After reading all the glowing reviews, especially about how this film is one of the best of the decade I had to see it for myself- the plot it self wasn't anything ground breaking, and while the technical aspect of the film were flawless and i enjoyed it for the first hour, the ending was a total let down (lots of plot holes that I won't get into here) I agree with some other reviewers, the Park family weren't your typical rich snobs, the father worked for his money and came home home and was always there for his children and polite to the domestics, the problem was the family was just too darn naive and foolish, but not terrible people by any means, all in all just a mixed bag, Shoplifters was a much more engaging and heart felt piece of foreign cinema, and I highly recommend watching that!!"
